Company_name,Company_size,Description,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title,apply_link
hibu Inc,1001 to 5000 Employees,"Job Type: Full-time account rep sales consultant vice president strategic account wealth advisor account development representative territory sales director Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/7640/hibu-squarelogo-1541795936450.png,Business Services,outside sales representative,Full-time,"Bismarck, ND",,Outside Sales Representative - B2B,"https://www.glassdoor.com/job-listing/outside-sales-representative-b2b-hibu-JV_IC1156224_KO0,32_KE33,37.htm?jl=3820616367&pos=101&ao=1044077&s=149&guid=00000177920a81ed9b544b4783d7894e&src=GD_JOB_AD&t=SRFJ&vt=w&ea=1&cs=1_44254abf&cb=1613062898282&jobListingId=3820616367&ctt=1613062899092"
Bystronic,1001 to 5000 Employees,"The Capital Equipment Field Service Engineer will be responsible for installing, troubleshooting and repairing Bystronic Laser and Press Brake Machines. · Install, repair, commission and troubleshoot machine tools. · Enter service reports. · Diagnose mechanical, and electrical problems, performing mechanical and electrical repairs, install new machines. · Instruct customer on machine operation, and maintenance and safety at customer locations. · Associates program or technical school degree in engineering principles. · Two (2) year degree or higher preferred, or four years military experience in Electrical/Mechanical systems or 1-3 years industry experience. · 1-3 years machine tool field and installation knowledge · Electrical and mechanical machine troubleshooting experience. · Be able to work overtime and including weekends as needed. · 100% travel to the North America’s · Have and maintain a clean and valid driver’s license and be able to rent a car. · Have or be able to obtain a Passport. · Be able to lift up to 70 lbs. · Excellent communication skills oral and written. · Advanced computer skills including Microsoft Office · Positive, professional attitude and customer service background. · Possess a basic took kit own, special tools will be supplied. · Possess a mechanical and electrical background. · Ability to read and understand electrical and mechanical drawings. · Understanding of I/O modules, servo amplifiers, electrical components in control cabinets. · Understands the relationship between axis motors and feedback systems for each axis. : · Experience in electrical, hydraulics, Ehtercat, ethernet, pneumatics electronics and blueprint reading *All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, citizenship, disability or protected veteran status **NOTE: This job description in no way states or implies that these are the only duties to be performed** Job Type: Full-time Pay: From $25.00 per hour Education: Experience: Willingness To Travel: field clinical engineer field engineer field support engineer field service manager field service technician field technician Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/779293/bystronic-squarelogo-1550558588382.png,Manufacturing,field service engineer,Full-time,"Bismarck, ND",$42K - $69K ,Capital Equipment Field Service Engineer,"https://www.glassdoor.com/job-listing/capital-equipment-field-service-engineer-bystronic-JV_IC1156224_KO0,40_KE41,50.htm?jl=3813618954&pos=105&ao=1044077&s=58&guid=00000177920a81ed93052d82685a5bff&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_56c1e187&cb=1613062898290&jobListingId=3813618954&ctt=1613062900499"
Penske,10000+ Employees,"Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/8984/penske-truck-leasing-squarelogo-1448305940838.png,Transportation & Logistics,driver,Part-time,"Lincoln, ND",,Non-CDL Local Driver - Hiker/Vehicle Transporter - Part Time,https://gopenske.taleo.net/careersection/.penske.ex.jsa.dr/jobdetail.ftl?job=2101830&src=JB-10126
Talkspace,51 to 200 Employees,"Join the world’s leading online therapy platform and provide care on your schedule, all from the comfort of home. Talkspace is an online therapy platform that will connect you with clients in your state through an easy-to-use and HIPAA-compliant app. Exchange text, video, and audio messages with your clients from anywhere, at any time — as long as you do so daily, 5 days/week. Our platform also supports Live Video Sessions. To participate in the Talkspace clinical network, all providers are required to possess the following: Note: Talkspace therapists only work with clients in the state(s) where they are licensed and allowed to practice independently Your clients are waiting. Join our network of thousands of clinicians and become a leader in the mental health field. Job Type: Contract Benefits: Additional Compensation: Work Location: Work Remotely: outpatient therapist family therapist mental health therapist mental health clinician academic advisor clinical therapist Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png,Health Care,counselor,Full-time,"Bismarck, ND",$28K - $52K ,Counselor,https://www.talkspace.com/join-our-network/therapist?utm_source=indeed&utm_medium=ssm&utm_campaign=Indeed_C_Bismarck
Girl Scouts-Dakota Horizons (GSDH),,"The Membership Specialist is responsible for implementing and executing comprehensive year-round recruitment and outreach plans, goals, and objectives for girl and volunteer membership growth and participation in assigned geographic area. Collaboratively works cross-functionally to provide customer care and support that ensures achievement of Council goals. Fosters community partnerships in order to implement Girl Scouting within an assigned area. Job Type: Full-time Benefits: Schedule: Supplemental Pay: Education: Experience: License/Certification: Willingness To Travel: Work Location: Company's website: Benefit Conditions: COVID-19 Precaution(s): program analyst program manager program assistant assistant director program officer program administrator Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,program coordinator,Full-time,"Bismarck, ND",,Membership Specialist,"https://www.glassdoor.com/job-listing/membership-specialist-girl-scouts-dakota-horizons-gsdh-JV_IC1156224_KO0,21_KE22,54.htm?jl=3803827237&pos=129&ao=1044077&s=58&guid=00000177920a81ed93052d82685a5bff&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_68006fb8&cb=1613062898293&jobListingId=3803827237&ctt=1613062903565"
Prestwich Orthodontics,,"Registered Dental Assistant (RDA)  Prestwich Orthodontics is looking to add a registered dental assistant to our growing team. We’re looking for a team player who can bring energy, passion and a positive attitude to work every day! If you love making people smile, this is the job for you! Applicant MUST be a REGISTERED dental assistant with current North Dakota licensure. Experience in orthodontic assisting is helpful but not necessary. We are willing to train the right individual. This is a part-time position (3-4 days/week, ~25-32 hours) with benefits! We offer a very competitive salary, 401(k), medical, life insurance, uniforms, a bonus system, flex benefit plan, and PTO. Please email/mail/drop off resume, including training and previous experience in the dental field to: Prestwich Orthodontics Attn: Mos Prestwich 1015 S. Broadway, Ste 17 Minot, ND 58701 701-852-2646 We can’t wait to meet you! Related keywords: dental assistant, dental Job Type: Part-time Pay: $17.00 - $22.00 per hour Benefits: Schedule: Supplemental Pay: Experience: Clinical Setting: CDA/RDA License Required: Company's website: Company's Facebook page: Work Remotely: COVID-19 Precaution(s): oral surgery assistant dental receptionist orthodontic assistant dental hygienist dental lab technician dental technician Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,dental assistant,Part-time,"Bismarck, ND",,Dental Assistant,"https://www.glassdoor.com/job-listing/dental-assistant-prestwich-orthodontics-JV_IC1156224_KO0,16_KE17,39.htm?jl=3782268030&pos=125&ao=1044077&s=58&guid=00000177920a81ed93052d82685a5bff&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_db610ebc&cb=1613062898293&jobListingId=3782268030&ctt=1613062908101"
Primrose Retirement Communities,501 to 1000 Employees,"Individual will cook 4days per week and carry out administrative responsibilities one day per week. Will routinely work between the hours of 6am and 6:30pm with rotating weekends. Salary range $38,500 per year and up DOE. If you’re passionate and committed to the culinary craft and are looking for that work-life balance that you’ve heard so much about, we may be your new home. Primrose Retirement Communities are currently in 19 states with over 40 properties. We are dedicated to our resident’s quality of life. Through the kitchen you will have the ability to influence their state of mind and the joy they feel every day. This responsibility is held in high regards and essential from our chefs. Creativity and the willingness to adapt to our residents’ needs is a must. Able to perform designated work and cleaning routines for the dietary/kitchen department. Overall supervision and responsibilities of Kitchen duties and staff including menu planning, food orders, staff training and managing work schedules. Must be able to reach, stoop, bend, carry and manipulate various food items. Lifting, pushing or pulling up to 50 lbs., using proper body mechanics or available equipment to help. Physical activity required throughout the shift. Exposure to temperature and humidity changes in the kitchen such as: the area near or around the ovens, refrigeration, ranges, dish washing machines. lead cook line cook kitchen manager culinary instructor Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/471444/primrose-retirement-communities-squarelogo-1432629398403.png,Health Care,chef,Full-time,"Bismarck, ND",$17K - $53K ,Executive Chef,https://prd01-hcm01.prd.mykronos.com/ta/6159231.careers?ShowJob=1828985516&idpartenaire=10194
Northwestern Mutual,5001 to 10000 Employees,"JOIN OUR CHAMPIONSHIP TEAM We are a Fortune 150 company looking to grow! Do you like helping others? Everyone needs financial assistance. Our team helps clients navigate a personalized plan in order to reach their financial dreams! We are searching for three (3) special individuals to join our premier financial planning firm in Fargo, North Dakota. These are mentored positions. No financial experience required. We will train, coach, mentor, and develop the right candidate through our Wealth Management Advisor Program curriculum. Here, you'll have access to award-winning training, technology, planning tools, and supportive mentors who will help you deliver expert advice to your clients. And, as you build impactful relationships with clients and help them build a plan to achieve their financial goals, you'll be solidifying your own financial future too. Hard work is valued here, rewarded with opportunities for growth and exceptional income potential. Do you want a company that values varied experiences and diversity? Do you want a career in which you control your time and flexibility to make your success what you want it? Do you think hard work should be recognized and rewarded? Are teamwork and mentorship important to you? Are you looking for a fast-paced, highly productive environment with driven people surrounding you and rooting you on? THIS CAREER OFFERS YOU: -Stipends for training and licensing to help you get started. -The ability to positively impact someone else's life. -Personalized mentoring from top advisors and award-winning training programs. -Backing by Northwestern Mutual, an industry leader with a proven track record of success. CAN YOU SEE YOURSELF HELPING OTHERS REACH THEIR FINANCIAL GOALS? Many people (50%) find their calling in financial services after working in other industries. Wondering if you’d be a good fit? See how many of the characteristics below match up to you: You know how to connect with people, building personal, trusted relationships. Financial planning is interesting to you. You’re a driven person who’s committed to succeeding. You’re ready to earn more for your hard work. You enjoy helping people make more informed, confident decisions. You're ready to live the life you want, both personally and professionally. QUALIFICATIONS We want people with different backgrounds and work experience, including but not limited to: financial services, sales, educators, athletes, military veterans, real estate agents, and community influencers. We would prefer you to have a Bachelors of Arts or Science degree. It's also a plus if you have strong interpersonal skills and are a self-starter who is motivated and has had personal success. You must be from the area, have lived here for four years, or have a substantial network here. You must have an interest in people and sales! Our advisors consult with people daily. INCOME GROWTH OPPORTUNITY: Average vs Top 25% Year 1 | $52,000 - $106,000 Year 3 | $103,000 - $202,000 Year 5 |$139,000 - $289,000 Year 10 | $234,000 - $490,000 Year 15 | $341,000 - $790,000 Beyond income, you'll also have access to a comprehensive benefits package: Comprehensive medical insurance Two pension plans Life and disability insurance Health care and dependent care reimbursement accounts Reimbursement for licensing and ongoing education About Northwestern Mutual: Northwestern Mutual has been helping families and businesses achieve financial security for over 164 years. Through a distinctive, whole-picture planning approach including both insurance and investments, we empower people to be financially confident. We combine the expertise of our financial professionals with a personalized digital experience and leading-edge technology to best serve our clients. With $250.4 billion in assets, $28.2 billion in revenues, and more than $1.6 trillion worth of life insurance protection in force, Northwestern Mutual delivers financial security to more than 4.4 million people who rely on us for life, disability income and long-term care insurance, annuities, brokerage and advisory services, trust services, and discretionary portfolio management solutions. The company holds more than $100 billion of client assets as a part of its wealth management and investment services. Recent Awards and Accolades: -FORTUNE® 104 (FORTUNE® 500, 2018) -One of the “World’s Most Admired” life insurance companies (FORTUNE® Magazine, 2019) -Best Places to Work #67 (Glassdoor, 2018) -Highest Rated CEO's (Glassdoor, 2017) -50 Best Companies for Diversity (Black Enterprise Magazine, 2018) -50 Best Companies to Sell For (Selling Power Magazine, 2016) Related keywords: finance, financial advisor Job Type: Full-time Pay: $52,000.00 - $300,000.00 per year Benefits: Schedule: Supplemental Pay: Education: Experience: Work Location: Paid Training: This Company Describes Its Culture as: Company's website: Benefit Conditions: COVID-19 Precaution(s): investment consultant financial adviser finance advisor investment advisor financial counselor financial associate Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/2919/northwestern-mutual-squarelogo-1505752677735.png,Finance,financial advisor,Full-time,"Bismarck, ND",,Financial Advisor,"https://www.glassdoor.com/job-listing/financial-advisor-northwestern-mutual-JV_IC1156224_KO0,17_KE18,37.htm?jl=3801955987&pos=121&ao=1044077&s=58&guid=00000177920a81ed93052d82685a5bff&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b42e3fa9&cb=1613062898292&jobListingId=3801955987&ctt=1613062912839"
Altru Health System,,": $29.19 - $39.22 The Registered Nurse provides direct nursing care in accordance with established policies, procedures and protocols of the organization. The nurse maintains the knowledge and skills necessary to provide care appropriate to the age of the patients served on the assigned unit. The nurse facilitates the coordination of patient care within the interdisciplinary care team and provides patient education to assure safe patient discharge. Altru Health System is a community of over 3,800 health professionals and support staff committed to caring for the region for more than 100 years. Serving over 225,000 residents in northeast North Dakota and northwest Minnesota, we provide an array of services to meet the needs of patients of all ages and levels of health. As the first member of the Mayo Clinic Care Network, Altru’s providers have access to clinically integrated tools extending Mayo Clinic’s knowledge and expertise to patients. Altru offers challenging and rewarding nursing career opportunities. We are seeking committed, motivated and compassionate nurses to join our team. ""I enjoy working at Altru because of the sense of community."" – Altru Employee. Registered Nurse - North Dakota Board of Nursing (NDBON) or Compact State Agreement; Prior to Start Date Basic Life Support (BLS) - American Heart Assoc. or American Red Cross CPR for Prof. Rescue; Within 2 Months of Start Date EEO Job Types: Full-time, Part-time Pay: $29.19 - $39.22 per hour Schedule: Supplemental Pay: Experience: Relocation Assistance Provided: Company's website: Company's Facebook page: Work Remotely: new grad rn rn case manager emergency department rn nurse manager clinic rn emergency room nurse Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,registered nurse,Part-time,"Bismarck, ND",,"Registered Nurse (RN) $10K-$15K sign-on bonus, Grand Forks, ND","https://www.glassdoor.com/job-listing/registered-nurse-rn-10k-15k-sign-on-bonus-grand-forks-nd-altru-health-system-JV_IC1156224_KO0,56_KE57,76.htm?jl=3788503399&pos=119&ao=1044076&s=58&guid=00000177920a81ed93052d82685a5bff&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ac1d8446&cb=1613062898292&jobListingId=3788503399&ctt=1613062917251"
US Foods,10000+ Employees,"Join Our Community of Food People! Ready to build a career with a company that’s leading the foodservice industry? Top performers can make up to  / hour plus incentives; our delivery drivers start at       medical, dental, vision, 401K, life insurance, strong safety culture, and much more! stellar local leadership, best place to work, benefits on day ONE! is one of the largest food distributors with a culture and history of promoting from within, excellent training programs and a continuous improvement focus. *  Registering to the FMCSA Clearinghouse is a requirement by the Department of Transportation. All Drivers are required to the Clearinghouse website and register to the new database. The Clearinghouse is a secure online database that provides real-time information about commercial driver’s license (CDL) and commercial learner’s permit (CLP) holders’ drug and alcohol program violations. If you have not registered to the FMCSA database, please note registration is required. Please visit https://clearinghouse.fmcsa.dot.gov/register and click GO to login. If you are able to log into login, but are having trouble with the Clearinghouse registration, see “Clearinghouse Help” field on the clearinghouse page.     Job Type: Full-time Pay: $22.75 per hour Schedule: Trucking Driver Type: License/Certification: Trucking freight handling: Type of Freight: Trucking route: Work Remotely: it-serviceberater telekom analyst servicebereitstellung integration delivery drivers consulting technical manager Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/2856/us-foods-squarelogo-1576537756273.png,Business Services,delivery driver,Full-time,"Bismarck, ND",$18 - $55 Per Hour,"CDL A Delivery Driver - $5,000 Sign On Bonus","https://www.glassdoor.com/job-listing/cdl-a-delivery-driver-5-000-sign-on-bonus-us-foods-JV_IC1156224_KO0,41_KE42,50.htm?jl=3816118886&pos=116&ao=1044077&s=58&guid=00000177920a81ed93052d82685a5bff&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5bb551dc&cb=1613062898291&jobListingId=3816118886&ctt=1613062917277"
