Company_name,Company_size,Description,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title,apply_link
Pilot Flying J,10000+ Employees,"Pilot Flying J is seeking an experienced Retail General Manager to oversee our high-volume retail facilities. You will be responsible for the generation and execution of travel center and restaurant business plans to achieve established standards, sales and profit objectives as well as customer satisfaction. The Retail General Manager will also be: As a Retail General Manager for Pilot Flying J, you will build, coach, manage and develop teams from a staffing, interviewing, hiring and training standpoint. Additional responsibilities for the Retail General Manager include: As a Retail General Manager, you must exemplify integrity and accountability at the managerial level as well as demonstrate excellent team leadership skills. Furthermore, you must be able to work a flexible schedule of nights, days, weekends and holidays. Additional requirements of the Retail General Manager include: Job Type: Full-time Pay: $50,000.00 - $70,000.00 per year Benefits: Schedule: Supplemental Pay: Experience: Application Question: district service manager managing director store director branch manager director of operations manager trainee Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/5534/pilot-flying-j-squarelogo-1594837448527.png,Retail,general manager,Full-time,"Bismarck, ND",$36K - $81K ,Retail General Manager - Relocation Required,"https://www.glassdoor.com/job-listing/retail-general-manager-relocation-required-pilot-flying-j-JV_IC1156224_KO0,42_KE43,57.htm?jl=3802046975&pos=104&ao=1044077&s=58&guid=000001776e17ea63a74719ca463d2320&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e5f28f2d&cb=1612459797426&jobListingId=3802046975&ctt=1612459799519"
Harlow's School Bus Service,N/A,"Diagnose, repair and maintain specialty vehicles and trucks including but not limited to work on electrical systems, diesel engines, transmissions, hydraulics, brakes, drivetrains, etc. Also responsible for small repairs on engine attachments, body leaks/repairs, parts ordering, documentation and record keeping, reviewing DVIR’s, completing recalls, moving units as necessary, general assistance and training. This position requires the employee to understand service department standards including technician efficiency and productivity. Reasonable Accommodations Statement To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. Reasonable Accommodations may be made to enable qualified individuals with disabilities to perform the essential functions of this position. Education: Associate’s Degree (two year college or technical school) Experience: five to ten years related experience Endorsements: Passenger (P) and School Bus (S) - No air brake restrictions Ability to pass DOT medical examination 21+ years of age The Company has reviewed this job description to ensure that essential functions and basic duties have been included. It is intended to provide guidelines for job expectations and the employee’s ability to perform the position described. It is not intended to be construed as an exhaustive list of all functions, responsibilities, skills and abilities. Additional functions and requirements may be assigned by supervisors as deemed appropriate. This document does not represent a contract of employment, and the Company reserves the right to change this job description and / or assign tasks for the employee to perform, as the Company may deem appropriate. Job Type: Full-time Pay: $26.00 - $28.00 per hour Schedule: Education: Experience: License/Certification: automotive technician auto mechanic auto tech 91b light wheel vehicle mechanic automotive mechanic diesel technician Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,N/A,automotive technician,Full-time,"Bismarck, ND",,Bus & Truck Technician,"https://www.glassdoor.com/job-listing/bus-truck-technician-harlow-s-school-bus-service-JV_IC1156224_KO0,20_KE21,48.htm?jl=3808353720&pos=103&ao=1044077&s=58&guid=000001776e17ea63a74719ca463d2320&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b4d6d29&cb=1612459797425&jobListingId=3808353720&ctt=1612459799766"
Wendy's / COS,N/A,"Job Type: Full-time Pay: $13.50 - $15.50 per hour Experience: Work authorization: Additional Compensation: Benefits: Work Remotely: managing partner bar manager food manager food service manager restaurant supervisor director of restaurant operations Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,N/A,restaurant manager,Full-time,"Bismarck, ND",,Restaurant Manager,https://Nowhiring.com/WCS
hibu Inc,1001 to 5000 Employees,"Job Type: Full-time account rep sales consultant vice president regional sales territory manager yard associate account development representative Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/7640/hibu-squarelogo-1541795936450.png,Business Services,outside sales representative,Full-time,"Bismarck, ND",,Outside Sales Representative - B2B,"https://www.glassdoor.com/job-listing/outside-sales-representative-b2b-hibu-JV_IC1156224_KO0,32_KE33,37.htm?jl=3812686275&pos=101&ao=1044077&s=149&guid=000001776e17ea63a28c98f5e3a51257&src=GD_JOB_AD&t=SRFJ&vt=w&ea=1&cs=1_ae72e188&cb=1612459797422&jobListingId=3812686275&ctt=1612459799471"
Pilot Flying J,10000+ Employees,"Pilot Flying J is seeking an experienced Retail General Manager to oversee our high-volume retail facilities. You will be responsible for the generation and execution of travel center and restaurant business plans to achieve established standards, sales and profit objectives as well as customer satisfaction. The Retail General Manager will also be: As a Retail General Manager for Pilot Flying J, you will build, coach, manage and develop teams from a staffing, interviewing, hiring and training standpoint. Additional responsibilities for the Retail General Manager include: As a Retail General Manager, you must exemplify integrity and accountability at the managerial level as well as demonstrate excellent team leadership skills. Furthermore, you must be able to work a flexible schedule of nights, days, weekends and holidays. Additional requirements of the Retail General Manager include: Job Type: Full-time Pay: $50,000.00 - $70,000.00 per year Benefits: Schedule: Supplemental Pay: Experience: Application Question: district service manager managing director store director branch manager director of operations manager trainee Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/5534/pilot-flying-j-squarelogo-1594837448527.png,Retail,general manager,Full-time,"Bismarck, ND",$36K - $81K ,Retail General Manager - Relocation Required,"https://www.glassdoor.com/job-listing/retail-general-manager-relocation-required-pilot-flying-j-JV_IC1156224_KO0,42_KE43,57.htm?jl=3802046975&pos=104&ao=1044077&s=58&guid=000001776e17ea63a74719ca463d2320&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e5f28f2d&cb=1612459797426&jobListingId=3802046975&ctt=1612459799514"
Harlow's School Bus Service,N/A,"Diagnose, repair and maintain specialty vehicles and trucks including but not limited to work on electrical systems, diesel engines, transmissions, hydraulics, brakes, drivetrains, etc. Also responsible for small repairs on engine attachments, body leaks/repairs, parts ordering, documentation and record keeping, reviewing DVIR’s, completing recalls, moving units as necessary, general assistance and training. This position requires the employee to understand service department standards including technician efficiency and productivity. Reasonable Accommodations Statement To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. Reasonable Accommodations may be made to enable qualified individuals with disabilities to perform the essential functions of this position. Education: Associate’s Degree (two year college or technical school) Experience: five to ten years related experience Endorsements: Passenger (P) and School Bus (S) - No air brake restrictions Ability to pass DOT medical examination 21+ years of age The Company has reviewed this job description to ensure that essential functions and basic duties have been included. It is intended to provide guidelines for job expectations and the employee’s ability to perform the position described. It is not intended to be construed as an exhaustive list of all functions, responsibilities, skills and abilities. Additional functions and requirements may be assigned by supervisors as deemed appropriate. This document does not represent a contract of employment, and the Company reserves the right to change this job description and / or assign tasks for the employee to perform, as the Company may deem appropriate. Job Type: Full-time Pay: $26.00 - $28.00 per hour Schedule: Education: Experience: License/Certification: automotive technician auto mechanic auto tech 91b light wheel vehicle mechanic automotive mechanic diesel technician Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,N/A,automotive technician,Full-time,"Bismarck, ND",,Bus & Truck Technician,"https://www.glassdoor.com/job-listing/bus-truck-technician-harlow-s-school-bus-service-JV_IC1156224_KO0,20_KE21,48.htm?jl=3808353720&pos=103&ao=1044077&s=58&guid=000001776e17ea63a74719ca463d2320&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b4d6d29&cb=1612459797425&jobListingId=3808353720&ctt=1612459800207"
Wendy's / COS,N/A,"Job Type: Full-time Pay: $13.50 - $15.50 per hour Experience: Work authorization: Additional Compensation: Benefits: Work Remotely: managing partner bar manager food manager food service manager kitchen manager director of restaurant operations Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,N/A,restaurant manager,Full-time,"Bismarck, ND",,Restaurant Manager,https://Nowhiring.com/WCS
Harlow's School Bus Service,N/A,"Diagnose, repair and maintain specialty vehicles and trucks including but not limited to work on electrical systems, diesel engines, transmissions, hydraulics, brakes, drivetrains, etc. Also responsible for small repairs on engine attachments, body leaks/repairs, parts ordering, documentation and record keeping, reviewing DVIR’s, completing recalls, moving units as necessary, general assistance and training. This position requires the employee to understand service department standards including technician efficiency and productivity. Reasonable Accommodations Statement To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. Reasonable Accommodations may be made to enable qualified individuals with disabilities to perform the essential functions of this position. Education: Associate’s Degree (two year college or technical school) Experience: five to ten years related experience Endorsements: Passenger (P) and School Bus (S) - No air brake restrictions Ability to pass DOT medical examination 21+ years of age The Company has reviewed this job description to ensure that essential functions and basic duties have been included. It is intended to provide guidelines for job expectations and the employee’s ability to perform the position described. It is not intended to be construed as an exhaustive list of all functions, responsibilities, skills and abilities. Additional functions and requirements may be assigned by supervisors as deemed appropriate. This document does not represent a contract of employment, and the Company reserves the right to change this job description and / or assign tasks for the employee to perform, as the Company may deem appropriate. Job Type: Full-time Pay: $26.00 - $28.00 per hour Schedule: Education: Experience: License/Certification: automotive technician auto mechanic auto tech 91b light wheel vehicle mechanic automotive mechanic diesel technician Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,N/A,automotive technician,Full-time,"Bismarck, ND",,Bus & Truck Technician,"https://www.glassdoor.com/job-listing/bus-truck-technician-harlow-s-school-bus-service-JV_IC1156224_KO0,20_KE21,48.htm?jl=3808353720&pos=103&ao=1044077&s=58&guid=000001776e17ea63a74719ca463d2320&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b4d6d29&cb=1612459797425&jobListingId=3808353720&ctt=1612459800271"
Pilot Flying J,10000+ Employees,"Pilot Flying J is seeking an experienced Retail General Manager to oversee our high-volume retail facilities. You will be responsible for the generation and execution of travel center and restaurant business plans to achieve established standards, sales and profit objectives as well as customer satisfaction. The Retail General Manager will also be: As a Retail General Manager for Pilot Flying J, you will build, coach, manage and develop teams from a staffing, interviewing, hiring and training standpoint. Additional responsibilities for the Retail General Manager include: As a Retail General Manager, you must exemplify integrity and accountability at the managerial level as well as demonstrate excellent team leadership skills. Furthermore, you must be able to work a flexible schedule of nights, days, weekends and holidays. Additional requirements of the Retail General Manager include: Job Type: Full-time Pay: $50,000.00 - $70,000.00 per year Benefits: Schedule: Supplemental Pay: Experience: Application Question: district service manager managing director store director branch manager director of operations manager trainee Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/5534/pilot-flying-j-squarelogo-1594837448527.png,Retail,general manager,Full-time,"Bismarck, ND",$36K - $81K ,Retail General Manager - Relocation Required,"https://www.glassdoor.com/job-listing/retail-general-manager-relocation-required-pilot-flying-j-JV_IC1156224_KO0,42_KE43,57.htm?jl=3802046975&pos=104&ao=1044077&s=58&guid=000001776e17ea63a74719ca463d2320&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e5f28f2d&cb=1612459797426&jobListingId=3802046975&ctt=1612459799519"
Northwestern Mutual,5001 to 10000 Employees,"JOIN OUR CHAMPIONSHIP TEAM We are a Fortune 150 company looking to grow! Do you like helping others? Everyone needs financial assistance. Our team helps clients navigate a personalized plan in order to reach their financial dreams! We are searching for three (3) special individuals to join our premier financial planning firm in Fargo, North Dakota. These are mentored positions. No financial experience required. We will train, coach, mentor, and develop the right candidate through our Wealth Management Advisor Program curriculum. Here, you'll have access to award-winning training, technology, planning tools, and supportive mentors who will help you deliver expert advice to your clients. And, as you build impactful relationships with clients and help them build a plan to achieve their financial goals, you'll be solidifying your own financial future too. Hard work is valued here, rewarded with opportunities for growth and exceptional income potential. Do you want a company that values varied experiences and diversity? Do you want a career in which you control your time and flexibility to make your success what you want it? Do you think hard work should be recognized and rewarded? Are teamwork and mentorship important to you? Are you looking for a fast-paced, highly productive environment with driven people surrounding you and rooting you on? THIS CAREER OFFERS YOU: -Stipends for training and licensing to help you get started. -The ability to positively impact someone else's life. -Personalized mentoring from top advisors and award-winning training programs. -Backing by Northwestern Mutual, an industry leader with a proven track record of success. CAN YOU SEE YOURSELF HELPING OTHERS REACH THEIR FINANCIAL GOALS? Many people (50%) find their calling in financial services after working in other industries. Wondering if you’d be a good fit? See how many of the characteristics below match up to you: You know how to connect with people, building personal, trusted relationships. Financial planning is interesting to you. You’re a driven person who’s committed to succeeding. You’re ready to earn more for your hard work. You enjoy helping people make more informed, confident decisions. You're ready to live the life you want, both personally and professionally. QUALIFICATIONS We want people with different backgrounds and work experience, including but not limited to: financial services, sales, educators, athletes, military veterans, real estate agents, and community influencers. We would prefer you to have a Bachelors of Arts or Science degree. It's also a plus if you have strong interpersonal skills and are a self-starter who is motivated and has had personal success. You must be from the area, have lived here for four years, or have a substantial network here. You must have an interest in people and sales! Our advisors consult with people daily. INCOME GROWTH OPPORTUNITY: Average vs Top 25% Year 1 | $52,000 - $106,000 Year 3 | $103,000 - $202,000 Year 5 |$139,000 - $289,000 Year 10 | $234,000 - $490,000 Year 15 | $341,000 - $790,000 Beyond income, you'll also have access to a comprehensive benefits package: Comprehensive medical insurance Two pension plans Life and disability insurance Health care and dependent care reimbursement accounts Reimbursement for licensing and ongoing education About Northwestern Mutual: Northwestern Mutual has been helping families and businesses achieve financial security for over 164 years. Through a distinctive, whole-picture planning approach including both insurance and investments, we empower people to be financially confident. We combine the expertise of our financial professionals with a personalized digital experience and leading-edge technology to best serve our clients. With $250.4 billion in assets, $28.2 billion in revenues, and more than $1.6 trillion worth of life insurance protection in force, Northwestern Mutual delivers financial security to more than 4.4 million people who rely on us for life, disability income and long-term care insurance, annuities, brokerage and advisory services, trust services, and discretionary portfolio management solutions. The company holds more than $100 billion of client assets as a part of its wealth management and investment services. Recent Awards and Accolades: -FORTUNE® 104 (FORTUNE® 500, 2018) -One of the “World’s Most Admired” life insurance companies (FORTUNE® Magazine, 2019) -Best Places to Work #67 (Glassdoor, 2018) -Highest Rated CEO's (Glassdoor, 2017) -50 Best Companies for Diversity (Black Enterprise Magazine, 2018) -50 Best Companies to Sell For (Selling Power Magazine, 2016) Related keywords: finance, financial advisor Job Type: Full-time Pay: $52,000.00 - $300,000.00 per year Benefits: Schedule: Supplemental Pay: Education: Experience: Work Location: Paid Training: This Company Describes Its Culture as: Company's website: Benefit Conditions: COVID-19 Precaution(s): investment consultant financial adviser finance advisor investment advisor financial counselor financial associate Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/2919/northwestern-mutual-squarelogo-1505752677735.png,Finance,financial advisor,Full-time,"Bismarck, ND",,Financial Advisor,"https://www.glassdoor.com/job-listing/financial-advisor-northwestern-mutual-JV_IC1156224_KO0,17_KE18,37.htm?jl=3801955987&pos=102&ao=1044077&s=58&guid=000001776e17ea63a74719ca463d2320&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7ada9590&cb=1612459797425&jobListingId=3801955987&ctt=1612459800584"
