Company_name,Company_size,Description,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title,apply_link
Whitney Sleep Diagnostics & Consultants,N/A,"Whitney Sleep Diagnostics & Consultants has been providing comprehensive sleep medicine services to patients for the past 10 years. Our mission is to serve patients who live in areas where access to sleep medicine has not been available. We partner with hospitals in rural areas throughout the Midwest to provide the same level of sleep medicine care that can be found in major metropolitan areas. We are looking for a full-time Sleep Technologist located in, or willing to relocate to, the Eastern North Dakota area that would be able to travel to our Eastern North Dakota, Western Minnesota, and Northern South Dakota partner hospitals to perform night-time sleep studies for our patients. We are open to temporary/contract work; however, we would prefer permanent/long-term work. *All job offers contingent about successful completion of Background Check, Reference Check, Employment Agreement, OIG/SAM/EPLS Check, and Drug Test Job Types: Full-time, Part-time Pay: $52,000.00 - $62,400.00 per year Benefits: Medical Specialty: Schedule: Experience: License/Certification: Work Location: Work Remotely: medical laboratory scientist clinical lab technologist medical technologist laboratory technologist clinical laboratory technician laboratory specimen processor Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,clinical laboratory technologist,Part-time,"Bismarck, ND",,Sleep Technologist - Traveling - Great Pay - Company Vehicle,"https://www.glassdoor.com/job-listing/sleep-technologist-traveling-great-pay-company-vehicle-whitney-sleep-diagnostics-consultants-JV_IC1156224_KO0,54_KE55,92.htm?jl=3761991530&pos=118&ao=1044077&s=58&guid=000001778129370b83443e09d33cc157&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b6cdd187&cb=1612779698042&jobListingId=3761991530&ctt=1612779699015"
Mild 2 Wild Motorsports,N/A,"BASIC FUNCTION Maintain engines and equipment inboard/outboard boats as assigned and ensure they are suitable for their intended service. RESPONSIBILITIES Perform preventive and routine repair & maintenance on boats machinery/equipment ranging from oil changes to engine overhauls and depthfinder/ electronics installs. Troubleshoot equipment/engine problems and provide on-site service and repair at our shop. Provide electrical system repair Provide non-routine maintenance onboard boats as needed. Performs other duties as required. We will provide the training for certifications and pay will be based on performance and certifications. We are a Mercury, Suzuki, Yamaha and Evinrude dealer. We also sell a Spartan zero turn mowers and Intimidator UTV’s. Boat dealer for AlumaCraft and Warrior boats. Job Type: Full-time Pay: $18.00 - $35.00 per hour Benefits: Schedule: Education: License/Certification: Skills: Typical start time: Typical end time: This Company Describes Its Culture as: This Job Is: Company's website: Company's Facebook page: Benefit Conditions: Work Remotely: diesel technician smog technician auto tech maintenance tech maintenance technician freight car repairman Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,mechanic,Full-time,"Bismarck, ND",,Mechanic -Marine,"https://www.glassdoor.com/job-listing/mechanic-marine-mild-2-wild-motorsports-JV_IC1156224_KO0,15_KE16,39.htm?jl=3817184487&pos=120&ao=1044077&s=58&guid=000001778129370b83443e09d33cc157&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d1d09de4&cb=1612779698043&jobListingId=3817184487&ctt=1612779698984"
Mild 2 Wild Motorsports,N/A,"BASIC FUNCTION Maintain engines and equipment inboard/outboard boats as assigned and ensure they are suitable for their intended service. RESPONSIBILITIES Perform preventive and routine repair & maintenance on boats machinery/equipment ranging from oil changes to engine overhauls and depthfinder/ electronics installs. Troubleshoot equipment/engine problems and provide on-site service and repair at our shop. Provide electrical system repair Provide non-routine maintenance onboard boats as needed. Performs other duties as required. We will provide the training for certifications and pay will be based on performance and certifications. We are a Mercury, Suzuki, Yamaha and Evinrude dealer. We also sell a Spartan zero turn mowers and Intimidator UTV’s. Boat dealer for AlumaCraft and Warrior boats. Job Type: Full-time Pay: $18.00 - $35.00 per hour Benefits: Schedule: Education: License/Certification: Skills: Typical start time: Typical end time: This Company Describes Its Culture as: This Job Is: Company's website: Company's Facebook page: Benefit Conditions: Work Remotely: auto tech auto technician maintenance technician mep manager service technician mechnical engineer Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,mechanic,Full-time,"Bismarck, ND",,Mechanic -Marine,"https://www.glassdoor.com/job-listing/mechanic-marine-mild-2-wild-motorsports-JV_IC1156224_KO0,15_KE16,39.htm?jl=3817184487&pos=120&ao=1044077&s=58&guid=000001778129370b83443e09d33cc157&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d1d09de4&cb=1612779698043&jobListingId=3817184487&ctt=1612779699017"
gpac,201 to 500 Employees,"Gpac, a family-owned executive search firm, is looking for highly motivated individuals to partner with as an Executive Search Consultant. Our company was founded 30 years ago and has become one of the largest, single-site firms in the nation that is continuing to grow. We are looking to hire individuals for our Sioux Falls, SD office AND individuals to fill our ""Remote Recruiting"" positions. Search Consultants enjoy a flexible, but fast-paced, work environment. You will be surrounded by passionate co-workers pushing one another to exceed each other's own goals. This is a position that allows you to help transform people's lives by placing them in their ideal job positions across the country, while transforming your life as well, and having unlimited earnings potential with a great work-life balance. We have the resources to train you on our process and develop your own business. Applicants should have an entrepreneurial mindset and be goal-orientated. They should also be able to work well individually and as a team. No recruiting experience is required due to our training program. Please send your resume and cover letter/brief personal description to DaveK@gogpac.com or call/text 605-978-5451 to discuss in more detail. All qualified applicants will receive consideration without regard to race, age, color, sex (including pregnancy), religion, national origin, disability, sexual orientation, gender identity, marital status, military status, genetic information, or any other status protected by applicable laws or regulations. GPAC (Growing People and Companies) is an award-winning search firm specializing in placing quality professionals within multiple industries across the United States for the past 30 years. We are extremely competitive, client-focused and realize that our value is in our ability to deliver the right solutions at the right time. program advisor urban planner replenishment analyst program manager advisory staff strategic planner Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/731572/gpac-squarelogo-1424761412590.png,Business Services,consultant,Full-time,"Bismarck, ND",$70K - $195K ,Executive Search Consultant,"https://www.glassdoor.com/job-listing/executive-search-consultant-gpac-JV_IC1156224_KO0,27_KE28,32.htm?jl=3802589958&pos=101&ao=1044072&s=149&guid=000001778129370bae0b6fccdd22ddd1&src=GD_JOB_AD&t=SRFJ&vt=w&ea=1&cs=1_18337203&cb=1612779698033&jobListingId=3802589958&ctt=1612779699536"
Mild 2 Wild Motorsports,N/A,"BASIC FUNCTION Maintain engines and equipment inboard/outboard boats as assigned and ensure they are suitable for their intended service. RESPONSIBILITIES Perform preventive and routine repair & maintenance on boats machinery/equipment ranging from oil changes to engine overhauls and depthfinder/ electronics installs. Troubleshoot equipment/engine problems and provide on-site service and repair at our shop. Provide electrical system repair Provide non-routine maintenance onboard boats as needed. Performs other duties as required. We will provide the training for certifications and pay will be based on performance and certifications. We are a Mercury, Suzuki, Yamaha and Evinrude dealer. We also sell a Spartan zero turn mowers and Intimidator UTV’s. Boat dealer for AlumaCraft and Warrior boats. Job Type: Full-time Pay: $18.00 - $35.00 per hour Benefits: Schedule: Education: License/Certification: Skills: Typical start time: Typical end time: This Company Describes Its Culture as: This Job Is: Company's website: Company's Facebook page: Benefit Conditions: Work Remotely: diesel technician smog technician auto tech maintenance tech maintenance technician freight car repairman Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,mechanic,Full-time,"Bismarck, ND",,Mechanic -Marine,"https://www.glassdoor.com/job-listing/mechanic-marine-mild-2-wild-motorsports-JV_IC1156224_KO0,15_KE16,39.htm?jl=3817184487&pos=120&ao=1044077&s=58&guid=000001778129370b83443e09d33cc157&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d1d09de4&cb=1612779698043&jobListingId=3817184487&ctt=1612779698986"
Talkspace,51 to 200 Employees,"Join the world’s leading online therapy platform and provide care on your schedule, all from the comfort of home. Talkspace is an online therapy platform that will connect you with clients in your state through an easy-to-use and HIPAA-compliant app. Exchange text, video, and audio messages with your clients from anywhere, at any time — as long as you do so daily, 5 days/week. Our platform also supports Live Video Sessions. To participate in the Talkspace clinical network, all providers are required to possess the following: Note: Talkspace therapists only work with clients in the state(s) where they are licensed and allowed to practice independently Your clients are waiting. Join our network of thousands of clinicians and become a leader in the mental health field. Job Type: Contract Benefits: Additional Compensation: Work Location: Work Remotely: mental health professional behavioral health therapist clinical counselor mental health program manager mental health clinician school guidance counselor Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png,Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Independently Licensed Mental Health Counselor,https://www.talkspace.com/join-our-network/therapist?utm_source=indeed&utm_medium=ssm&utm_campaign=Indeed_ILMHC_Bismarck
Talkspace,51 to 200 Employees,"Join the world’s leading online therapy platform and provide care on your schedule, all from the comfort of home. Talkspace is an online therapy platform that will connect you with clients in your state through an easy-to-use and HIPAA-compliant app. Exchange text, video, and audio messages with your clients from anywhere, at any time — as long as you do so daily, 5 days/week. Our platform also supports Live Video Sessions. To participate in the Talkspace clinical network, all providers are required to possess the following: Note: Talkspace therapists only work with clients in the state(s) where they are licensed and allowed to practice independently Your clients are waiting. Join our network of thousands of clinicians and become a leader in the mental health field. Job Type: Contract Benefits: Additional Compensation: Work Location: Work Remotely: mental health professional clinical counselor behavioral health therapist mental health program manager mental health clinician clinical social worker Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png,Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Independently Licensed Mental Health Counselor,https://www.talkspace.com/join-our-network/therapist?utm_source=indeed&utm_medium=ssm&utm_campaign=Indeed_ILMHC_Bismarck
Talkspace,51 to 200 Employees,"Join the world’s leading online therapy platform and provide care on your schedule, all from the comfort of home. Talkspace is an online therapy platform that will connect you with clients in your state through an easy-to-use and HIPAA-compliant app. Exchange text, video, and audio messages with your clients from anywhere, at any time — as long as you do so daily, 5 days/week. Our platform also supports Live Video Sessions. To participate in the Talkspace clinical network, all providers are required to possess the following: Note: Talkspace therapists only work with clients in the state(s) where they are licensed and allowed to practice independently Your clients are waiting. Join our network of thousands of clinicians and become a leader in the mental health field. Job Type: Contract Benefits: Additional Compensation: Work Location: Work Remotely: mental health professional behavioral health therapist clinical counselor mental health program manager mental health clinician school guidance counselor Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png,Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Independently Licensed Mental Health Counselor,https://www.talkspace.com/join-our-network/therapist?utm_source=indeed&utm_medium=ssm&utm_campaign=Indeed_ILMHC_Bismarck
US Foods,10000+ Employees,"Join Our Community of Food People! Ready to build a career with a company that’s leading the foodservice industry? Top performers can make up to  / hour plus incentives; our delivery drivers start at       medical, dental, vision, 401K, life insurance, strong safety culture, and much more! stellar local leadership, best place to work, benefits on day ONE! is one of the largest food distributors with a culture and history of promoting from within, excellent training programs and a continuous improvement focus. *  Registering to the FMCSA Clearinghouse is a requirement by the Department of Transportation. All Drivers are required to the Clearinghouse website and register to the new database. The Clearinghouse is a secure online database that provides real-time information about commercial driver’s license (CDL) and commercial learner’s permit (CLP) holders’ drug and alcohol program violations. If you have not registered to the FMCSA database, please note registration is required. Please visit https://clearinghouse.fmcsa.dot.gov/register and click GO to login. If you are able to log into login, but are having trouble with the Clearinghouse registration, see “Clearinghouse Help” field on the clearinghouse page.     Job Type: Full-time Pay: $22.75 per hour Schedule: Trucking Driver Type: License/Certification: Trucking freight handling: Type of Freight: Trucking route: Work Remotely: it-serviceberater telekom analyst servicebereitstellung integration delivery drivers consulting technical manager Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/2856/us-foods-squarelogo-1576537756273.png,Business Services,delivery driver,Full-time,"Bismarck, ND",$18 - $55 Per Hour,"CDL A Delivery Driver - $5,000 Sign On Bonus","https://www.glassdoor.com/job-listing/cdl-a-delivery-driver-5-000-sign-on-bonus-us-foods-JV_IC1156224_KO0,41_KE42,50.htm?jl=3816118886&pos=116&ao=1044077&s=58&guid=000001778129370b83443e09d33cc157&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_812978f2&cb=1612779698042&jobListingId=3816118886&ctt=1612779700580"
US Foods,10000+ Employees,"Join Our Community of Food People! Ready to build a career with a company that’s leading the foodservice industry? Top performers can make up to  / hour plus incentives; our delivery drivers start at       medical, dental, vision, 401K, life insurance, strong safety culture, and much more! stellar local leadership, best place to work, benefits on day ONE! is one of the largest food distributors with a culture and history of promoting from within, excellent training programs and a continuous improvement focus. *  Registering to the FMCSA Clearinghouse is a requirement by the Department of Transportation. All Drivers are required to the Clearinghouse website and register to the new database. The Clearinghouse is a secure online database that provides real-time information about commercial driver’s license (CDL) and commercial learner’s permit (CLP) holders’ drug and alcohol program violations. If you have not registered to the FMCSA database, please note registration is required. Please visit https://clearinghouse.fmcsa.dot.gov/register and click GO to login. If you are able to log into login, but are having trouble with the Clearinghouse registration, see “Clearinghouse Help” field on the clearinghouse page.     Job Type: Full-time Pay: $22.75 per hour Schedule: Trucking Driver Type: License/Certification: Trucking freight handling: Type of Freight: Trucking route: Work Remotely: it-serviceberater telekom analyst servicebereitstellung integration delivery drivers consulting technical manager Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/2856/us-foods-squarelogo-1576537756273.png,Business Services,delivery driver,Full-time,"Bismarck, ND",$18 - $55 Per Hour,"CDL A Delivery Driver - $5,000 Sign On Bonus","https://www.glassdoor.com/job-listing/cdl-a-delivery-driver-5-000-sign-on-bonus-us-foods-JV_IC1156224_KO0,41_KE42,50.htm?jl=3816118886&pos=116&ao=1044077&s=58&guid=000001778129370b83443e09d33cc157&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_812978f2&cb=1612779698042&jobListingId=3816118886&ctt=1612779700559"
