Company_name,Company_size,Description,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title,apply_link
Missouri Valley Montessori Preschool,N/A,"Preference will be given to an individual who currently holds an Early or Elementary Education Teaching License. The Substitute position will be as needed. Hours will may range from 8:00 am to 5:30 pm. The Substitute will work alongside an Assistant Teacher in a classroom of 19 preschoolers. The Substitute will be responsible to carry out lesson plans. Minimum hourly rate of $15.00 Job Types: Full-time, Temporary Employment Length: instructional aide elementary teacher preschool teacher elementary school teacher teacher elementary school teacher assistant Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,substitute teacher,Full-time,"Bismarck, ND",,Substitute Teacher,"https://www.glassdoor.com/job-listing/substitute-teacher-missouri-valley-montessori-preschool-JV_IC1156224_KO0,18_KE19,55.htm?jl=3661425103&pos=124&ao=1044077&s=58&guid=00000177921a43f79cd1aee6a8351ffc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_bcf49278&cb=1613063931283&jobListingId=3661425103&ctt=1613063932389"
Cassia,5001 to 10000 Employees,"Join our award-winning facility as a  a 4-star rated, 140-bed campus, is seeking dedicated  to join our skilled team. In this role, you will join our team of professional caregivers to become an important part of our residents’ lives. We are seeking an individual who is a team player and who is also comfortable working independently. Safety is our number one priority. Staff are provided with personal protective equipment. Here at   you will feel like part of our family as we work together to serve our residents. We believe in your quality of life, too – so you’ll find our culture provides ongoing opportunities to grow (tuition assistance and in-house training), a work/life balance and a commitment to coaching that enables you to be the best you can be. In addition to generous benefits, we're offering a   Don't wait and miss this wonderful opportunity! There are   positions available.  Day (7 am to 11 pm) Baptist Health Care Center of Bismarck provides loving and supportive 24-hour nursing care. Working together with our residents and their families, our professional caregivers develop a care plan tailored to meet each individual’s needs. That plan includes social and spiritual care as well as the health care services needed to maximize our residents’ comfort, security, and well-being. We take pride in providing compassionate care to our residents by focusing on our 8 pillars of excellence (Compassion, Integrity, Excellence, Innovation, Stewardship, Unity, Respect, and Collaboration). Apply today to make a difference in the lives of those we serve! Cassia, an affiliation between Augustana Care and Elim Care, is a Christian mission organization with over 200 years of combined experience caring for those in need. We strive to inspire residents to live the lives that are most fulfilling to them. We take pride in the longevity of our management team and invite you to apply to learn more! #Indeed EOE/AA Employer/Vet/Disabled *A Drug Free Workplace *A Veteran Friendly Employer Powered by JazzHR Bclcl1VQzN certified nursing assistant nursing home certified nursing assistant certified nursing assistant cna certified nursing assistant long term care hospice certified nursing assistant qualified nursing assistant long term care Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png,Health Care,certified nursing assistant,Part-time,"Bismarck, ND",,"Certified Nursing Assistants (CNAs)- PT Day 1,500 Bonus",https://cassia.applytojob.com/apply/Bclcl1VQzN/Certified-Nursing-Assistants-CNAs-PT-Day-1500-Bonus?source=INDE
gpac,201 to 500 Employees,"Gpac, a family-owned executive search firm, is looking for highly motivated individuals to partner with as an Executive Search Consultant. Our company was founded 30 years ago and has become one of the largest, single-site firms in the nation that is continuing to grow. We are looking to hire individuals for our Sioux Falls, SD office AND individuals to fill our ""Remote Recruiting"" positions. Search Consultants enjoy a flexible, but fast-paced, work environment. You will be surrounded by passionate co-workers pushing one another to exceed each other's own goals. This is a position that allows you to help transform people's lives by placing them in their ideal job positions across the country, while transforming your life as well, and having unlimited earnings potential with a great work-life balance. We have the resources to train you on our process and develop your own business. Applicants should have an entrepreneurial mindset and be goal-orientated. They should also be able to work well individually and as a team. No recruiting experience is required due to our training program. Please send your resume and cover letter/brief personal description to DaveK@gogpac.com or call/text 605-978-5451 to discuss in more detail. All qualified applicants will receive consideration without regard to race, age, color, sex (including pregnancy), religion, national origin, disability, sexual orientation, gender identity, marital status, military status, genetic information, or any other status protected by applicable laws or regulations. GPAC (Growing People and Companies) is an award-winning search firm specializing in placing quality professionals within multiple industries across the United States for the past 30 years. We are extremely competitive, client-focused and realize that our value is in our ability to deliver the right solutions at the right time. advisory staff public affairs specialist strategic planner replenishment analyst project planner technical advisor Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/731572/gpac-squarelogo-1424761412590.png,Business Services,consultant,Full-time,"Bismarck, ND",$70K - $195K ,Executive Search Consultant,"https://www.glassdoor.com/job-listing/executive-search-consultant-gpac-JV_IC1156224_KO0,27_KE28,32.htm?jl=3802589958&pos=101&ao=1044072&s=149&guid=00000177921a43f785e1366f65bbfb82&src=GD_JOB_AD&t=SRFJ&vt=w&ea=1&cs=1_4fe7a185&cb=1613063931274&jobListingId=3802589958&ctt=1613063932258"
Cassia,5001 to 10000 Employees,"Join our award-winning campus at  as a  We have received the Pinnacle Customer Experience Award two years in a row for achieving BEST-IN-CLASS customer satisfaction standards in overall satisfaction. We were also proud to be named “Best Nursing Home” and the “Second Best Large Business to Work” by The Bismarck Tribune! In addition to generous benefits, we're offering a    a 4-star rated, 140-bed campus, is seeking dedicated  to join our skilled team! In this role, you will join our team of professional caregivers to become an important part of our residents’ lives. We are seeking an individual who is a team player and who is also comfortable working independently. Safety is our number one priority. Staff are provided with personal protective equipment. Here at   you will feel like part of our family as we work together to serve our residents. We believe in your quality of life, too – so you’ll find our culture provides ongoing opportunities to grow (tuition assistance and in-house training), a work/life balance and a commitment to coaching that enables you to be the best you can be. Don't wait and miss this wonderful opportunity! There are  , benefit eligible positions available.  Day Baptist Health Care Center of Bismarck provides loving and supportive 24-hour nursing care. Working together with our residents and their families, our professional caregivers develop a care plan tailored to meet each individual’s needs. That plan includes social and spiritual care as well as the health care services needed to maximize our residents’ comfort, security, and well-being. We take pride in providing compassionate care to our residents by focusing on our 8 pillars of excellence (Compassion, Integrity, Excellence, Innovation, Stewardship, Unity, Respect, and Collaboration). Apply today to make a difference in the lives of those we serve! Cassia, an affiliation between Augustana Care and Elim Care, is a Christian mission organization with over 200 years of combined experience caring for those in need. We strive to inspire residents to live the lives that are most fulfilling to them. We take pride in the longevity of our management team and invite you to apply to learn more! #Indeed EOE/AA Employer/Vet/Disabled *A Drug Free Workplace *A Veteran Friendly Employer Powered by JazzHR vlJR0fSevS nursing aide licensed practical nurse charge nurse rehab cna private duty cna certified medical assistant Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png,Health Care,certified nursing assistant,Full-time,"Bismarck, ND",,"Certified Nursing Assistant (CNA)- FT Day, 3000 Bonus",https://cassia.applytojob.com/apply/vlJR0fSevS/Certified-Nursing-Assistant-CNA-FT-Day-3000-Bonus?source=INDE
Cassia,5001 to 10000 Employees,"Join our award-winning campus at  as a  We have received the Pinnacle Customer Experience Award two years in a row for achieving BEST-IN-CLASS customer satisfaction standards in overall satisfaction. We were also proud to be named “Best Nursing Home” and the “Second Best Large Business to Work” by The Bismarck Tribune! In addition to generous benefits, we're offering a    a 4-star rated, 140-bed campus, is seeking dedicated  to join our skilled team! In this role, you will join our team of professional caregivers to become an important part of our residents’ lives. We are seeking an individual who is a team player and who is also comfortable working independently. Safety is our number one priority. Staff are provided with personal protective equipment. Here at   you will feel like part of our family as we work together to serve our residents. We believe in your quality of life, too – so you’ll find our culture provides ongoing opportunities to grow (tuition assistance and in-house training), a work/life balance and a commitment to coaching that enables you to be the best you can be. Don't wait and miss this wonderful opportunity! There are  , benefit eligible positions available.  Day Baptist Health Care Center of Bismarck provides loving and supportive 24-hour nursing care. Working together with our residents and their families, our professional caregivers develop a care plan tailored to meet each individual’s needs. That plan includes social and spiritual care as well as the health care services needed to maximize our residents’ comfort, security, and well-being. We take pride in providing compassionate care to our residents by focusing on our 8 pillars of excellence (Compassion, Integrity, Excellence, Innovation, Stewardship, Unity, Respect, and Collaboration). Apply today to make a difference in the lives of those we serve! Cassia, an affiliation between Augustana Care and Elim Care, is a Christian mission organization with over 200 years of combined experience caring for those in need. We strive to inspire residents to live the lives that are most fulfilling to them. We take pride in the longevity of our management team and invite you to apply to learn more! #Indeed EOE/AA Employer/Vet/Disabled *A Drug Free Workplace *A Veteran Friendly Employer Powered by JazzHR vlJR0fSevS nursing aide private duty cna certified medical assistant charge nurse patient care assistant nursing assistant Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png,Health Care,certified nursing assistant,Full-time,"Bismarck, ND",,"Certified Nursing Assistant (CNA)- FT Day, 3000 Bonus",https://cassia.applytojob.com/apply/vlJR0fSevS/Certified-Nursing-Assistant-CNA-FT-Day-3000-Bonus?source=INDE
Missouri Valley Montessori Preschool,N/A,"Preference will be given to an individual who currently holds an Early or Elementary Education Teaching License. The Substitute position will be as needed. Hours will may range from 8:00 am to 5:30 pm. The Substitute will work alongside an Assistant Teacher in a classroom of 19 preschoolers. The Substitute will be responsible to carry out lesson plans. Minimum hourly rate of $15.00 Job Types: Full-time, Temporary Employment Length: instructional aide elementary teacher preschool teacher elementary school teacher teacher elementary school teacher assistant Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,substitute teacher,Full-time,"Bismarck, ND",,Substitute Teacher,"https://www.glassdoor.com/job-listing/substitute-teacher-missouri-valley-montessori-preschool-JV_IC1156224_KO0,18_KE19,55.htm?jl=3661425103&pos=124&ao=1044077&s=58&guid=00000177921a43f79cd1aee6a8351ffc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_bcf49278&cb=1613063931283&jobListingId=3661425103&ctt=1613063932435"
Centennial Homes,51 to 200 Employees,"Finish Carpenter and Warranty Tech Responsibilities include: Complete the final finish/inspection and final walk through with the customer of a manufactured or modular home that is delivered to the customer's job site. Complete all warranty work on the home. Minimum Requirements - Must have construction background and be skilled in tape and texturing of drywall - Must possess a clean driving record - Must pass background screening and a drug screening -Must be able to travel 4-5 days per week. - Experience in Manufactured/Modular housing is preferred but not required if you have a background in related skills. Benefits: We recognize people as our most valuable asset. Our compensation offers a competitive pay and a great benefits package which includes 401K, medical and available dental insurance, life insurance, Flex Cafeteria Plan, paid sick leave, clothing allowance, paid company holidays, job training programs, paid vacations and training. For more information check out our website @ www.careersatcentennialhomes.com Job Type: Full-time Benefits: Experience: Location: License: Required travel: Work Location: Typical start time: Typical end time: Pay Frequency: This Job Is Ideal for Someone Who Is: This Job Is: Company's website: Benefit Conditions: Work Remotely: construction superintendent cabinet maker Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/145501/centennial-homes-squarelogo-1429594663693.png,Real Estate,carpenter,Full-time,"Bismarck, ND",,Finish Carpenter/Warranty Technician,"https://www.glassdoor.com/job-listing/finish-carpenter-warranty-technician-centennial-homes-JV_IC1156224_KO0,36_KE37,53.htm?jl=3674753679&pos=122&ao=1044077&s=58&guid=00000177921a43f79cd1aee6a8351ffc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c0a7c9e5&cb=1613063931283&jobListingId=3674753679&ctt=1613063932902"
Centennial Homes,51 to 200 Employees,"Finish Carpenter and Warranty Tech Responsibilities include: Complete the final finish/inspection and final walk through with the customer of a manufactured or modular home that is delivered to the customer's job site. Complete all warranty work on the home. Minimum Requirements - Must have construction background and be skilled in tape and texturing of drywall - Must possess a clean driving record - Must pass background screening and a drug screening -Must be able to travel 4-5 days per week. - Experience in Manufactured/Modular housing is preferred but not required if you have a background in related skills. Benefits: We recognize people as our most valuable asset. Our compensation offers a competitive pay and a great benefits package which includes 401K, medical and available dental insurance, life insurance, Flex Cafeteria Plan, paid sick leave, clothing allowance, paid company holidays, job training programs, paid vacations and training. For more information check out our website @ www.careersatcentennialhomes.com Job Type: Full-time Benefits: Experience: Location: License: Required travel: Work Location: Typical start time: Typical end time: Pay Frequency: This Job Is Ideal for Someone Who Is: This Job Is: Company's website: Benefit Conditions: Work Remotely: construction superintendent cabinet maker Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/145501/centennial-homes-squarelogo-1429594663693.png,Real Estate,carpenter,Full-time,"Bismarck, ND",,Finish Carpenter/Warranty Technician,"https://www.glassdoor.com/job-listing/finish-carpenter-warranty-technician-centennial-homes-JV_IC1156224_KO0,36_KE37,53.htm?jl=3674753679&pos=122&ao=1044077&s=58&guid=00000177921a43f79cd1aee6a8351ffc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c0a7c9e5&cb=1613063931283&jobListingId=3674753679&ctt=1613063933060"
Centennial Homes,51 to 200 Employees,"Finish Carpenter and Warranty Tech Responsibilities include: Complete the final finish/inspection and final walk through with the customer of a manufactured or modular home that is delivered to the customer's job site. Complete all warranty work on the home. Minimum Requirements - Must have construction background and be skilled in tape and texturing of drywall - Must possess a clean driving record - Must pass background screening and a drug screening -Must be able to travel 4-5 days per week. - Experience in Manufactured/Modular housing is preferred but not required if you have a background in related skills. Benefits: We recognize people as our most valuable asset. Our compensation offers a competitive pay and a great benefits package which includes 401K, medical and available dental insurance, life insurance, Flex Cafeteria Plan, paid sick leave, clothing allowance, paid company holidays, job training programs, paid vacations and training. For more information check out our website @ www.careersatcentennialhomes.com Job Type: Full-time Benefits: Experience: Location: License: Required travel: Work Location: Typical start time: Typical end time: Pay Frequency: This Job Is Ideal for Someone Who Is: This Job Is: Company's website: Benefit Conditions: Work Remotely: construction superintendent cabinet maker Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/145501/centennial-homes-squarelogo-1429594663693.png,Real Estate,carpenter,Full-time,"Bismarck, ND",,Finish Carpenter/Warranty Technician,"https://www.glassdoor.com/job-listing/finish-carpenter-warranty-technician-centennial-homes-JV_IC1156224_KO0,36_KE37,53.htm?jl=3674753679&pos=122&ao=1044077&s=58&guid=00000177921a43f79cd1aee6a8351ffc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c0a7c9e5&cb=1613063931283&jobListingId=3674753679&ctt=1613063932881"
Missouri Valley Montessori Preschool,N/A,"Preference will be given to an individual who currently holds an Early or Elementary Education Teaching License. The Substitute position will be as needed. Hours will may range from 8:00 am to 5:30 pm. The Substitute will work alongside an Assistant Teacher in a classroom of 19 preschoolers. The Substitute will be responsible to carry out lesson plans. Minimum hourly rate of $15.00 Job Types: Full-time, Temporary Employment Length: instructional aide elementary teacher preschool teacher elementary school teacher teacher elementary school teacher assistant Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,substitute teacher,Full-time,"Bismarck, ND",,Substitute Teacher,"https://www.glassdoor.com/job-listing/substitute-teacher-missouri-valley-montessori-preschool-JV_IC1156224_KO0,18_KE19,55.htm?jl=3661425103&pos=124&ao=1044077&s=58&guid=00000177921a43f79cd1aee6a8351ffc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_bcf49278&cb=1613063931283&jobListingId=3661425103&ctt=1613063932682"
