Company_name,Company_size,Description,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title,apply_link
Prestwich Orthodontics,N/A,"Registered Dental Assistant (RDA)  Prestwich Orthodontics is looking to add a registered dental assistant to our growing team. We’re looking for a team player who can bring energy, passion and a positive attitude to work every day! If you love making people smile, this is the job for you! Applicant MUST be a REGISTERED dental assistant with current North Dakota licensure. Experience in orthodontic assisting is helpful but not necessary. We are willing to train the right individual. This is a part-time position (3-4 days/week, ~25-32 hours) with benefits! We offer a very competitive salary, 401(k), medical, life insurance, uniforms, a bonus system, flex benefit plan, and PTO. Please email/mail/drop off resume, including training and previous experience in the dental field to: Prestwich Orthodontics Attn: Mos Prestwich 1015 S. Broadway, Ste 17 Minot, ND 58701 701-852-2646 We can’t wait to meet you! Related keywords: dental assistant, dental Job Type: Part-time Pay: $17.00 - $22.00 per hour Benefits: Schedule: Supplemental Pay: Experience: Clinical Setting: CDA/RDA License Required: Company's website: Company's Facebook page: Work Remotely: COVID-19 Precaution(s): orthodontic assistant dental receptionist oral surgery assistant dental lab technician dental hygienist dental technician Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,dental assistant,Part-time,"Bismarck, ND",,Dental Assistant,"https://www.glassdoor.com/job-listing/dental-assistant-prestwich-orthodontics-JV_IC1156224_KO0,16_KE17,39.htm?jl=3782268030&pos=125&ao=1044077&s=58&guid=000001777a57f6dd839f56b87ea0df76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0384e3bc&cb=1612665321457&jobListingId=3782268030&ctt=1612665397312"
Talkspace,51 to 200 Employees,"Join the world’s leading online therapy platform and provide care on your schedule, all from the comfort of home. Talkspace is an online therapy platform that will connect you with clients in your state through an easy-to-use and HIPAA-compliant app. Exchange text, video, and audio messages with your clients from anywhere, at any time — as long as you do so daily, 5 days/week. Our platform also supports Live Video Sessions. To participate in the Talkspace clinical network, all providers are required to possess the following: Note: Talkspace therapists only work with clients in the state(s) where they are licensed and allowed to practice independently Your clients are waiting. Join our network of thousands of clinicians and become a leader in the mental health field. Job Type: Contract Benefits: Additional Compensation: Work Location: Work Remotely: mental health professional behavioral health therapist clinical counselor mental health program manager mental health clinician school guidance counselor Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png,Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Independently Licensed Mental Health Counselor,https://www.talkspace.com/join-our-network/therapist?utm_source=indeed&utm_medium=ssm&utm_campaign=Indeed_ILMHC_Bismarck
Talkspace,51 to 200 Employees,"Join the world’s leading online therapy platform and provide care on your schedule, all from the comfort of home. Talkspace is an online therapy platform that will connect you with clients in your state through an easy-to-use and HIPAA-compliant app. Exchange text, video, and audio messages with your clients from anywhere, at any time — as long as you do so daily, 5 days/week. Our platform also supports Live Video Sessions. To participate in the Talkspace clinical network, all providers are required to possess the following: Note: Talkspace therapists only work with clients in the state(s) where they are licensed and allowed to practice independently Your clients are waiting. Join our network of thousands of clinicians and become a leader in the mental health field. Job Type: Contract Benefits: Additional Compensation: Work Location: Work Remotely: mental health professional clinical counselor behavioral health therapist mental health program manager mental health clinician clinical social worker Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png,Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Independently Licensed Mental Health Counselor,https://www.talkspace.com/join-our-network/therapist?utm_source=indeed&utm_medium=ssm&utm_campaign=Indeed_ILMHC_Bismarck
Talkspace,51 to 200 Employees,"Join the world’s leading online therapy platform and provide care on your schedule, all from the comfort of home. Talkspace is an online therapy platform that will connect you with clients in your state through an easy-to-use and HIPAA-compliant app. Exchange text, video, and audio messages with your clients from anywhere, at any time — as long as you do so daily, 5 days/week. Our platform also supports Live Video Sessions. To participate in the Talkspace clinical network, all providers are required to possess the following: Note: Talkspace therapists only work with clients in the state(s) where they are licensed and allowed to practice independently Your clients are waiting. Join our network of thousands of clinicians and become a leader in the mental health field. Job Type: Contract Benefits: Additional Compensation: Work Location: Work Remotely: mental health professional behavioral health therapist clinical counselor mental health program manager mental health clinician school guidance counselor Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png,Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Independently Licensed Mental Health Counselor,https://www.talkspace.com/join-our-network/therapist?utm_source=indeed&utm_medium=ssm&utm_campaign=Indeed_ILMHC_Bismarck
Cassia,5001 to 10000 Employees,"Join our award-winning campus at  as a  We have received the Pinnacle Customer Experience Award two years in a row for achieving BEST-IN-CLASS customer satisfaction standards in overall satisfaction. We were also proud to be named “Best Nursing Home” and the “Second Best Large Business to Work” by The Bismarck Tribune! In addition to generous benefits, we're offering a    a 4-star rated, 140-bed campus, is seeking dedicated  to join our skilled team! In this role, you will join our team of professional caregivers to become an important part of our residents’ lives. We are seeking an individual who is a team player and who is also comfortable working independently. Safety is our number one priority. Staff are provided with personal protective equipment. Here at   you will feel like part of our family as we work together to serve our residents. We believe in your quality of life, too – so you’ll find our culture provides ongoing opportunities to grow (tuition assistance and in-house training), a work/life balance and a commitment to coaching that enables you to be the best you can be. Don't wait and miss this wonderful opportunity! There are  , benefit eligible positions available.  Day Baptist Health Care Center of Bismarck provides loving and supportive 24-hour nursing care. Working together with our residents and their families, our professional caregivers develop a care plan tailored to meet each individual’s needs. That plan includes social and spiritual care as well as the health care services needed to maximize our residents’ comfort, security, and well-being. We take pride in providing compassionate care to our residents by focusing on our 8 pillars of excellence (Compassion, Integrity, Excellence, Innovation, Stewardship, Unity, Respect, and Collaboration). Apply today to make a difference in the lives of those we serve! Cassia, an affiliation between Augustana Care and Elim Care, is a Christian mission organization with over 200 years of combined experience caring for those in need. We strive to inspire residents to live the lives that are most fulfilling to them. We take pride in the longevity of our management team and invite you to apply to learn more! #Indeed EOE/AA Employer/Vet/Disabled *A Drug Free Workplace *A Veteran Friendly Employer Powered by JazzHR vlJR0fSevS nursing aide rehab cna private duty cna nursing assistant licensed practical nurse certified medical assistant Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png,Health Care,certified nursing assistant,Full-time,"Bismarck, ND",,"Certified Nursing Assistant (CNA)- FT Day, 3000 Bonus",https://cassia.applytojob.com/apply/vlJR0fSevS/Certified-Nursing-Assistant-CNA-FT-Day-3000-Bonus?source=INDE
Cassia,5001 to 10000 Employees,"Join our award-winning campus at  as a  We have received the Pinnacle Customer Experience Award two years in a row for achieving BEST-IN-CLASS customer satisfaction standards in overall satisfaction. We were also proud to be named “Best Nursing Home” and the “Second Best Large Business to Work” by The Bismarck Tribune! In addition to generous benefits, we're offering a    a 4-star rated, 140-bed campus, is seeking dedicated  to join our skilled team! In this role, you will join our team of professional caregivers to become an important part of our residents’ lives. We are seeking an individual who is a team player and who is also comfortable working independently. Safety is our number one priority. Staff are provided with personal protective equipment. Here at   you will feel like part of our family as we work together to serve our residents. We believe in your quality of life, too – so you’ll find our culture provides ongoing opportunities to grow (tuition assistance and in-house training), a work/life balance and a commitment to coaching that enables you to be the best you can be. Don't wait and miss this wonderful opportunity! There are  , benefit eligible positions available.  Day Baptist Health Care Center of Bismarck provides loving and supportive 24-hour nursing care. Working together with our residents and their families, our professional caregivers develop a care plan tailored to meet each individual’s needs. That plan includes social and spiritual care as well as the health care services needed to maximize our residents’ comfort, security, and well-being. We take pride in providing compassionate care to our residents by focusing on our 8 pillars of excellence (Compassion, Integrity, Excellence, Innovation, Stewardship, Unity, Respect, and Collaboration). Apply today to make a difference in the lives of those we serve! Cassia, an affiliation between Augustana Care and Elim Care, is a Christian mission organization with over 200 years of combined experience caring for those in need. We strive to inspire residents to live the lives that are most fulfilling to them. We take pride in the longevity of our management team and invite you to apply to learn more! #Indeed EOE/AA Employer/Vet/Disabled *A Drug Free Workplace *A Veteran Friendly Employer Powered by JazzHR vlJR0fSevS nursing aide private duty cna licensed practical nurse rehab cna patient care assistant nursing assistant Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png,Health Care,certified nursing assistant,Full-time,"Bismarck, ND",,"Certified Nursing Assistant (CNA)- FT Day, 3000 Bonus",https://cassia.applytojob.com/apply/vlJR0fSevS/Certified-Nursing-Assistant-CNA-FT-Day-3000-Bonus?source=INDE
Alltech,5001 to 10000 Employees,"HUBBARD®, an Alltech® company, provides a full range of innovative, research-based animal feed and nutrition products. Our customers include meat, milk and egg producers as well as those with specialty and companion animals. Our goal is to provide customers with products and solutions that will improve their profitability and competitive advantage, while reducing risk and simplifying their lives. We are currently seeking experienced Plant Manager candidates for our Bismarck, ND facility. This position reports to the Senior Operations Manager and will manage the day to day operations of this location. The Plant Manager ensures the manufacture, warehousing, and delivery of product within established quality guidelines, customer expectations and regulatory requirements. This position actively leads and supports our safety program, lean initiatives and other strategic goals and has P&L responsibilities, including the development of the annual budget and capital expenditures plans for the location. This mill is a complete line feed mill with two staggered shifts. The qualified applicant will possess a college degree or equivalent experience, have 2 or more years of progressive experience in managing a feed mill, be skilled in motivating staff through good communication and leadership skills, have solid computer skills, and experience in a LEAN manufacturing environment. The desired candidate must be able to communicate effectively with a large dealer base, sales managers, and sales staff. Alltech provides the following benefits,   (except for STD and LTD) to employees who have the work ethic and commitment to customers, safety, and product quality that we are known for: We are an equal opportunity employer and do not discriminate against otherwise qualified applicants on the basis of race, color, creed, religion, ancestry, age, sex, marital status, national origin, disability or handicap, or veteran status. Job Type: Full-time Benefits: Schedule: Supplemental Pay: Education: Experience: This Company Describes Its Culture as: This Job Is: Company's website: Company's Facebook page: Benefit Conditions: Work Remotely: vice president manufacturing business unit manager operations director maintenance manager production manager plant engineer Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/466897/alltech-squarelogo.png,Agriculture & Forestry,plant manager,Full-time,"Bismarck, ND",$57K - $125K ,"Plant Manager - Bismarck, ND","https://www.glassdoor.com/job-listing/plant-manager-bismarck-nd-alltech-JV_IC1156224_KO0,25_KE26,33.htm?jl=3809478490&pos=122&ao=1044077&s=58&guid=000001777a57f6dd839f56b87ea0df76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_edbfdead&cb=1612665321456&jobListingId=3809478490&ctt=1612665398053"
Prestwich Orthodontics,N/A,"Registered Dental Assistant (RDA)  Prestwich Orthodontics is looking to add a registered dental assistant to our growing team. We’re looking for a team player who can bring energy, passion and a positive attitude to work every day! If you love making people smile, this is the job for you! Applicant MUST be a REGISTERED dental assistant with current North Dakota licensure. Experience in orthodontic assisting is helpful but not necessary. We are willing to train the right individual. This is a part-time position (3-4 days/week, ~25-32 hours) with benefits! We offer a very competitive salary, 401(k), medical, life insurance, uniforms, a bonus system, flex benefit plan, and PTO. Please email/mail/drop off resume, including training and previous experience in the dental field to: Prestwich Orthodontics Attn: Mos Prestwich 1015 S. Broadway, Ste 17 Minot, ND 58701 701-852-2646 We can’t wait to meet you! Related keywords: dental assistant, dental Job Type: Part-time Pay: $17.00 - $22.00 per hour Benefits: Schedule: Supplemental Pay: Experience: Clinical Setting: CDA/RDA License Required: Company's website: Company's Facebook page: Work Remotely: COVID-19 Precaution(s): dental receptionist oral surgery assistant orthodontic assistant dental lab technician dental technician dental hygienist Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,dental assistant,Part-time,"Bismarck, ND",,Dental Assistant,"https://www.glassdoor.com/job-listing/dental-assistant-prestwich-orthodontics-JV_IC1156224_KO0,16_KE17,39.htm?jl=3782268030&pos=125&ao=1044077&s=58&guid=000001777a57f6dd839f56b87ea0df76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0384e3bc&cb=1612665321457&jobListingId=3782268030&ctt=1612665397443"
Alltech,5001 to 10000 Employees,"HUBBARD®, an Alltech® company, provides a full range of innovative, research-based animal feed and nutrition products. Our customers include meat, milk and egg producers as well as those with specialty and companion animals. Our goal is to provide customers with products and solutions that will improve their profitability and competitive advantage, while reducing risk and simplifying their lives. We are currently seeking experienced Plant Manager candidates for our Bismarck, ND facility. This position reports to the Senior Operations Manager and will manage the day to day operations of this location. The Plant Manager ensures the manufacture, warehousing, and delivery of product within established quality guidelines, customer expectations and regulatory requirements. This position actively leads and supports our safety program, lean initiatives and other strategic goals and has P&L responsibilities, including the development of the annual budget and capital expenditures plans for the location. This mill is a complete line feed mill with two staggered shifts. The qualified applicant will possess a college degree or equivalent experience, have 2 or more years of progressive experience in managing a feed mill, be skilled in motivating staff through good communication and leadership skills, have solid computer skills, and experience in a LEAN manufacturing environment. The desired candidate must be able to communicate effectively with a large dealer base, sales managers, and sales staff. Alltech provides the following benefits,   (except for STD and LTD) to employees who have the work ethic and commitment to customers, safety, and product quality that we are known for: We are an equal opportunity employer and do not discriminate against otherwise qualified applicants on the basis of race, color, creed, religion, ancestry, age, sex, marital status, national origin, disability or handicap, or veteran status. Job Type: Full-time Benefits: Schedule: Supplemental Pay: Education: Experience: This Company Describes Its Culture as: This Job Is: Company's website: Company's Facebook page: Benefit Conditions: Work Remotely: vice president manufacturing business unit manager operations director maintenance manager production manager plant engineer Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/466897/alltech-squarelogo.png,Agriculture & Forestry,plant manager,Full-time,"Bismarck, ND",$57K - $125K ,"Plant Manager - Bismarck, ND","https://www.glassdoor.com/job-listing/plant-manager-bismarck-nd-alltech-JV_IC1156224_KO0,25_KE26,33.htm?jl=3809478490&pos=122&ao=1044077&s=58&guid=000001777a57f6dd839f56b87ea0df76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_edbfdead&cb=1612665321456&jobListingId=3809478490&ctt=1612665398126"
"Prairie View Landscaping & Nursery, Inc.",N/A,"Become a team member with a well-established company that is a leader in the green industry. Prairie View Landscaping & Nursery, Inc. has been serving the Bismarck, Mandan and surrounding areas since we were founded in 2005. We employ a team of about 120 talented professionals across four main divisions. Our full range of services includes commercial and residential landscape design and installation, landscape maintenance, irrigation service, aggregate and soil delivery, excavating, and commercial snow removal. In addition to the landscaping side of our business, Prairie View is also a grower of premium nursery stock on about 60 acres. Administrative headquarters located in Baldwin, ND about 6 miles north of Bismarck. The nursery supplies plant material to landscapers and retail customers, as well as providing for our own landscaping projects. We take on all kinds of projects, large or small. Job Type: Full-time Pay: $65,000.00 - $120,000.00 per year Benefits: Schedule: Work Location: Benefit Conditions: Work Remotely: landscape designer project designer landscape architecture project architect architectural drafter landscape architectural designer landscape manager Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,landscape architect,Full-time,"Bismarck, ND",,Landscape Design & Sales,"https://www.glassdoor.com/job-listing/landscape-design-sales-prairie-view-landscaping-nursery-JV_IC1156224_KO0,22_KE23,55.htm?jl=3813180648&pos=102&ao=1044077&s=58&guid=000001777a57f6dd839f56b87ea0df76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4f8a8813&cb=1612665321449&jobListingId=3813180648&ctt=1612665439337"
