Company_name,Company_size,Description,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title,apply_link
Centennial Homes,51 to 200 Employees,"*** Call 605-626-1900 or go to our location at 1010 S 26th St. for an application today! Join the Centennial family and start your career today!! Job Description Class A CDL Driver/Setup Tech Minimum Requirements: Delivery and installation of manufactured and modular homes to the customer's job site. - Must have a Class A CDL - Must be 21 years of age or older and possess a clean driving record - Must pass background and drug screening - Must be able to travel 2-4 nights per week - Experience in Manufactured/Modular housing is preferred but not required if you have a background in related skills ie: construction related background. *Benefits: -Competitive pay-Medical insurance-Dental and Vision insurance-Life insurance,- Paid Vacation and Sick leave,- Paid Holidays,- Paid Training- 401k- Clothing Allowance- Flex Cafeteria Plan Job Type: Full-time Schedule: Experience: License: Work Location: Trucking freight handling: Type of Freight: Pay Frequency: This Job Is Ideal for Someone Who Is: This Job Is: Company's website: Benefit Conditions: Work Remotely: car hauler ltl driver independent contractor heavy haul truck driver food grade tanker driver dump truck driver Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/145501/centennial-homes-squarelogo-1429594663693.png,Real Estate,owner operator,Full-time,"Bismarck, ND",,CDL Class A Driver/Setup Tech,"https://www.glassdoor.com/job-listing/cdl-class-a-driver-setup-tech-centennial-homes-JV_IC1156224_KO0,29_KE30,46.htm?jl=3760976691&pos=107&ao=1044077&s=58&guid=00000177d7f38fc3aecc4a63ef37dba0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_153ef02f&cb=1614235799784&jobListingId=3760976691&ctt=1614235801504"
Cassia,5001 to 10000 Employees,"Join our award-winning campus as a   Here at  , you will feel like part of our family as we work together to serve our residents. We believe in your quality of life, too – so you’ll find our culture provides ongoing opportunities to grow (tuition assistance and in-house training), a work/life balance and a commitment to coaching that enables you to be the best you can be. In addition to generous benefits, we're offering a  Don't wait and miss this wonderful opportunity!  a 4-star rated campus, is seeking dedicated   to join our skilled team. In this role, you will join our team of professional caregivers to become an important part of our residents’ lives. We are seeking an individual who is a team player and who is also comfortable working independently. Safety is our number one priority. Staff are provided with personal protective equipment. These are   positions.    (7:00 pm to 11:00 pm) Baptist Health Care Center of Bismarck provides loving and supportive 24-hour nursing care. Working together with our residents and their families, our professional caregivers develop a care plan tailored to meet each individual’s needs. That plan includes social and spiritual care as well as the health care services needed to maximize our residents’ comfort, security, and well-being. We take pride in providing compassionate care to our residents by focusing on our 8 pillars of excellence (Compassion, Integrity, Excellence, Innovation, Stewardship, Unity, Respect, and Collaboration). Apply today to make a difference in the lives of those we serve! Cassia, an affiliation between Augustana Care and Elim Care, is a Christian mission organization with over 200 years of combined experience caring for those in need. We strive to inspire residents to live the lives that are most fulfilling to them. We take pride in the longevity of our management team and invite you to apply to learn more! #Indeed EOE/AA Employer/Vet/Disabled *A Drug Free Workplace *A Veteran Friendly Employer Powered by JazzHR Lwwqh9CbIl medical assistant medical assistants pharmacy assistant medical certified medical assistant clinical assistant Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png,Health Care,medical assistant,Part-time,"Bismarck, ND",,"Medication Assistant (CMA)- Level II, PT Evening, 1500 Bonus",https://cassia.applytojob.com/apply/Lwwqh9CbIl/Medication-Assistant-CMA-Level-II-PT-Evening-1500-Bonus?source=INDE
Professional Insurance Services,N/A,"Professional Insurance Services is looking for driven individuals looking to start a rewarding career in the health and life insurance industry. · Bachelor’s Degree desirable but not required · Sales, business, and marketing courses are desirable but not required · No insurance experience necessary – on the job training · Contact potential clients and write health and life insurance policies · Present and educate clients on products that best fit their needs · Track sales and report to sales manager · Attending weekly sales meetings · Must have the ability to travel through assigned territory as necessary · Willing to obtain state insurance license and maintain company certifications · Interpersonal skills · Strong negotiating ability · Work well in team setting and individual driven · Can manage a schedule/time appropriately around clients’ needs · Ethically responsibly – customer focused · Base Salary or Commission, NO CAPS ON COMMISSION!!! · Health, Dental, Vision, and Life Insurance · Retirement Plan · Travel Reimbursement Comprehensive · Training/Licensing Reimbursement · Incentives throughout year including Sales Production Trip Job Type: Full-time Pay: $40,000.00 - $60,000.00 per year Benefits: Schedule: Supplemental Pay: Experience: Work Location: Company's website: Benefit Conditions: Work Remotely: claims adjuster insurance sales representative experienced sales representative claims representative state farm agent insurance adjuster Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,insurance sales agent,Full-time,"Bismarck, ND",,Life and Health Insurance Sales Producer,"https://www.glassdoor.com/job-listing/life-and-health-insurance-sales-producer-professional-insurance-services-JV_IC1156224_KO0,40_KE41,72.htm?jl=4006624205&pos=108&ao=1044077&s=58&guid=00000177d7f38fc3aecc4a63ef37dba0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_03f3bc9e&cb=1614235799784&jobListingId=4006624205&ctt=1614235801160"
Professional Insurance Services,N/A,"Professional Insurance Services is looking for driven individuals looking to start a rewarding career in the health and life insurance industry. · Bachelor’s Degree desirable but not required · Sales, business, and marketing courses are desirable but not required · No insurance experience necessary – on the job training · Contact potential clients and write health and life insurance policies · Present and educate clients on products that best fit their needs · Track sales and report to sales manager · Attending weekly sales meetings · Must have the ability to travel through assigned territory as necessary · Willing to obtain state insurance license and maintain company certifications · Interpersonal skills · Strong negotiating ability · Work well in team setting and individual driven · Can manage a schedule/time appropriately around clients’ needs · Ethically responsibly – customer focused · Base Salary or Commission, NO CAPS ON COMMISSION!!! · Health, Dental, Vision, and Life Insurance · Retirement Plan · Travel Reimbursement Comprehensive · Training/Licensing Reimbursement · Incentives throughout year including Sales Production Trip Job Type: Full-time Pay: $40,000.00 - $60,000.00 per year Benefits: Schedule: Supplemental Pay: Experience: Work Location: Company's website: Benefit Conditions: Work Remotely: claims adjuster insurance sales representative experienced sales representative claims representative state farm agent insurance adjuster Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,insurance sales agent,Full-time,"Bismarck, ND",,Life and Health Insurance Sales Producer,"https://www.glassdoor.com/job-listing/life-and-health-insurance-sales-producer-professional-insurance-services-JV_IC1156224_KO0,40_KE41,72.htm?jl=4006624205&pos=108&ao=1044077&s=58&guid=00000177d7f38fc3aecc4a63ef37dba0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_03f3bc9e&cb=1614235799784&jobListingId=4006624205&ctt=1614235801148"
Professional Insurance Services,N/A,"Professional Insurance Services is looking for driven individuals looking to start a rewarding career in the health and life insurance industry. · Bachelor’s Degree desirable but not required · Sales, business, and marketing courses are desirable but not required · No insurance experience necessary – on the job training · Contact potential clients and write health and life insurance policies · Present and educate clients on products that best fit their needs · Track sales and report to sales manager · Attending weekly sales meetings · Must have the ability to travel through assigned territory as necessary · Willing to obtain state insurance license and maintain company certifications · Interpersonal skills · Strong negotiating ability · Work well in team setting and individual driven · Can manage a schedule/time appropriately around clients’ needs · Ethically responsibly – customer focused · Base Salary or Commission, NO CAPS ON COMMISSION!!! · Health, Dental, Vision, and Life Insurance · Retirement Plan · Travel Reimbursement Comprehensive · Training/Licensing Reimbursement · Incentives throughout year including Sales Production Trip Job Type: Full-time Pay: $40,000.00 - $60,000.00 per year Benefits: Schedule: Supplemental Pay: Experience: Work Location: Company's website: Benefit Conditions: Work Remotely: claims adjuster insurance sales representative experienced sales representative claims representative state farm agent insurance adjuster Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,insurance sales agent,Full-time,"Bismarck, ND",,Life and Health Insurance Sales Producer,"https://www.glassdoor.com/job-listing/life-and-health-insurance-sales-producer-professional-insurance-services-JV_IC1156224_KO0,40_KE41,72.htm?jl=4006624205&pos=108&ao=1044077&s=58&guid=00000177d7f38fc3aecc4a63ef37dba0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_03f3bc9e&cb=1614235799784&jobListingId=4006624205&ctt=1614235801152"
Cassia,5001 to 10000 Employees,"Join our award-winning campus at  as a  We have received the Pinnacle Customer Experience Award two years in a row for achieving BEST-IN-CLASS customer satisfaction standards in overall satisfaction. We were also proud to be named “Best Nursing Home” and the “Second Best Large Business to Work” by The Bismarck Tribune! In addition to generous benefits, we're offering up to a    a 4-star rated, 140-bed campus, is seeking dedicated  to join our skilled team! In this role, you will join our team of professional caregivers to become an important part of our residents’ lives. We are seeking an individual who is a team player and who is also comfortable working independently. Safety is our number one priority. Staff are provided with personal protective equipment. Here at   you will feel like part of our family as we work together to serve our residents. We believe in your quality of life, too – so you’ll find our culture provides ongoing opportunities to grow (tuition assistance and in-house training), a work/life balance and a commitment to coaching that enables you to be the best you can be. Don't wait and miss this wonderful opportunity! There are  , benefit eligible positions available with a $3,000 Bonus!  Day There are   positions available with a $1,500 Bonus!.  Day (7 am to 11 pm) Baptist Health Care Center of Bismarck provides loving and supportive 24-hour nursing care. Working together with our residents and their families, our professional caregivers develop a care plan tailored to meet each individual’s needs. That plan includes social and spiritual care as well as the health care services needed to maximize our residents’ comfort, security, and well-being. We take pride in providing compassionate care to our residents by focusing on our 8 pillars of excellence (Compassion, Integrity, Excellence, Innovation, Stewardship, Unity, Respect, and Collaboration). Apply today to make a difference in the lives of those we serve! Cassia, an affiliation between Augustana Care and Elim Care, is a Christian mission organization with over 200 years of combined experience caring for those in need. We strive to inspire residents to live the lives that are most fulfilling to them. We take pride in the longevity of our management team and invite you to apply to learn more! #Indeed EOE/AA Employer/Vet/Disabled *A Drug Free Workplace *A Veteran Friendly Employer Powered by JazzHR 3lz5kd16YS nursing aide private duty cna licensed practical nurse rehab cna patient care assistant nursing assistant Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png,Health Care,certified nursing assistant,Part-time,"Bismarck, ND",,Certified Nursing Assistant (CNA)- PT or FT Day 3000 Bonus,https://cassia.applytojob.com/apply/3lz5kd16YS/Certified-Nursing-Assistant-CNA-PT-Or-FT-Day-3000-Bonus?source=INDE
Cassia,5001 to 10000 Employees,"Join our award-winning campus as a   Here at  , you will feel like part of our family as we work together to serve our residents. We believe in your quality of life, too – so you’ll find our culture provides ongoing opportunities to grow (tuition assistance and in-house training), a work/life balance and a commitment to coaching that enables you to be the best you can be. In addition to generous benefits, we're offering a  Don't wait and miss this wonderful opportunity!  a 4-star rated campus, is seeking dedicated   to join our skilled team. In this role, you will join our team of professional caregivers to become an important part of our residents’ lives. We are seeking an individual who is a team player and who is also comfortable working independently. Safety is our number one priority. Staff are provided with personal protective equipment. These are   positions.    (7:00 pm to 11:00 pm) Baptist Health Care Center of Bismarck provides loving and supportive 24-hour nursing care. Working together with our residents and their families, our professional caregivers develop a care plan tailored to meet each individual’s needs. That plan includes social and spiritual care as well as the health care services needed to maximize our residents’ comfort, security, and well-being. We take pride in providing compassionate care to our residents by focusing on our 8 pillars of excellence (Compassion, Integrity, Excellence, Innovation, Stewardship, Unity, Respect, and Collaboration). Apply today to make a difference in the lives of those we serve! Cassia, an affiliation between Augustana Care and Elim Care, is a Christian mission organization with over 200 years of combined experience caring for those in need. We strive to inspire residents to live the lives that are most fulfilling to them. We take pride in the longevity of our management team and invite you to apply to learn more! #Indeed EOE/AA Employer/Vet/Disabled *A Drug Free Workplace *A Veteran Friendly Employer Powered by JazzHR Lwwqh9CbIl medical assistant medical assistants pharmacy assistant medical certified medical assistant clinical assistant Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png,Health Care,medical assistant,Part-time,"Bismarck, ND",,"Medication Assistant (CMA)- Level II, PT Evening, 1500 Bonus",https://cassia.applytojob.com/apply/Lwwqh9CbIl/Medication-Assistant-CMA-Level-II-PT-Evening-1500-Bonus?source=INDE
Longhorn Steakhouse,1001 to 5000 Employees,"Job Requirements managing partner bar manager food manager food service manager restaurant supervisor director of restaurant operations Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/762799/longhorn-steakhouse-squarelogo-1549394271148.png,"Restaurants, Bars & Food Services",restaurant manager,Full-time,"Bismarck, ND",$31K - $49K ,Restaurant Manager,https://click.appcast.io/track/788pa88?cs=3rs&jg=3e1c&bid=Ymgocxdk3VZBoJOat4BP2A==&codes=IND
Cassia,5001 to 10000 Employees,"Join our award-winning campus as a   Here at  , you will feel like part of our family as we work together to serve our residents. We believe in your quality of life, too – so you’ll find our culture provides ongoing opportunities to grow (tuition assistance and in-house training), a work/life balance and a commitment to coaching that enables you to be the best you can be. In addition to generous benefits, we're offering a  Don't wait and miss this wonderful opportunity!  a 4-star rated campus, is seeking dedicated   to join our skilled team. In this role, you will join our team of professional caregivers to become an important part of our residents’ lives. We are seeking an individual who is a team player and who is also comfortable working independently. Safety is our number one priority. Staff are provided with personal protective equipment. These are   positions.    (7:00 pm to 11:00 pm) Baptist Health Care Center of Bismarck provides loving and supportive 24-hour nursing care. Working together with our residents and their families, our professional caregivers develop a care plan tailored to meet each individual’s needs. That plan includes social and spiritual care as well as the health care services needed to maximize our residents’ comfort, security, and well-being. We take pride in providing compassionate care to our residents by focusing on our 8 pillars of excellence (Compassion, Integrity, Excellence, Innovation, Stewardship, Unity, Respect, and Collaboration). Apply today to make a difference in the lives of those we serve! Cassia, an affiliation between Augustana Care and Elim Care, is a Christian mission organization with over 200 years of combined experience caring for those in need. We strive to inspire residents to live the lives that are most fulfilling to them. We take pride in the longevity of our management team and invite you to apply to learn more! #Indeed EOE/AA Employer/Vet/Disabled *A Drug Free Workplace *A Veteran Friendly Employer Powered by JazzHR Lwwqh9CbIl medical assistant medical assistants pharmacy assistant medical certified medical assistant clinical assistant Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png,Health Care,medical assistant,Part-time,"Bismarck, ND",,"Medication Assistant (CMA)- Level II, PT Evening, 1500 Bonus",https://cassia.applytojob.com/apply/Lwwqh9CbIl/Medication-Assistant-CMA-Level-II-PT-Evening-1500-Bonus?source=INDE
Centennial Homes,51 to 200 Employees,"*** Call 605-626-1900 or go to our location at 1010 S 26th St. for an application today! Join the Centennial family and start your career today!! Job Description Class A CDL Driver/Setup Tech Minimum Requirements: Delivery and installation of manufactured and modular homes to the customer's job site. - Must have a Class A CDL - Must be 21 years of age or older and possess a clean driving record - Must pass background and drug screening - Must be able to travel 2-4 nights per week - Experience in Manufactured/Modular housing is preferred but not required if you have a background in related skills ie: construction related background. *Benefits: -Competitive pay-Medical insurance-Dental and Vision insurance-Life insurance,- Paid Vacation and Sick leave,- Paid Holidays,- Paid Training- 401k- Clothing Allowance- Flex Cafeteria Plan Job Type: Full-time Schedule: Experience: License: Work Location: Trucking freight handling: Type of Freight: Pay Frequency: This Job Is Ideal for Someone Who Is: This Job Is: Company's website: Benefit Conditions: Work Remotely: car hauler independent contractor heavy haul truck driver ltl driver dump truck driver food grade tanker driver Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/145501/centennial-homes-squarelogo-1429594663693.png,Real Estate,owner operator,Full-time,"Bismarck, ND",,CDL Class A Driver/Setup Tech,"https://www.glassdoor.com/job-listing/cdl-class-a-driver-setup-tech-centennial-homes-JV_IC1156224_KO0,29_KE30,46.htm?jl=3760976691&pos=107&ao=1044077&s=58&guid=00000177d7f38fc3aecc4a63ef37dba0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_153ef02f&cb=1614235799784&jobListingId=3760976691&ctt=1614235802372"
