Company_name,Company_size,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title,apply_link
Pilot Flying J,10000+ Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/5534/pilot-flying-j-squarelogo-1594837448527.png",Retail,general manager,Full-time,"Bismarck, ND",$36K - $81K ,Retail General Manager - Relocation Required,Easy Apply
Midnite Express,N/A,/static/img/banners/default-ei-banner.jpg,N/A,owner operator,Full-time,"Bismarck, ND",,Class A CDL Truck Drivers - OTR Drivers & Owner Operators,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1044077&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7d23faa6&cb=1612447520059&jobListingId=3812482227
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Mental Health Counselor,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_76e865b4&cb=1612447520080&jobListingId=3771926026
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Mental Health Counselor,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_76e865b4&cb=1612447519875&jobListingId=3771926026
Pilot Flying J,10000+ Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/5534/pilot-flying-j-squarelogo-1594837448527.png",Retail,general manager,Full-time,"Bismarck, ND",$36K - $81K ,Retail General Manager - Relocation Required,Easy Apply
Fargo Glass and Paint,N/A,/static/img/banners/default-ei-banner.jpg,N/A,auto glass technician,Full-time,"Bismarck, ND",,Commercial Glass Installer - Glazier,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1044077&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_010d0857&cb=1612447520788&jobListingId=3680028932
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Mental Health Counselor,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_76e865b4&cb=1612447521100&jobListingId=3771926026
Wendy's / COS,N/A,/static/img/banners/default-ei-banner.jpg,N/A,restaurant manager,Full-time,"Bismarck, ND",,Restaurant Manager,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1044077&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2af80fc6&cb=1612447521108&jobListingId=3628848294
Wendy's / COS,N/A,/static/img/banners/default-ei-banner.jpg,N/A,restaurant manager,Full-time,"Bismarck, ND",,Restaurant Manager,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1044077&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2af80fc6&cb=1612447521847&jobListingId=3628848294
Wendy's / COS,N/A,/static/img/banners/default-ei-banner.jpg,N/A,restaurant manager,Full-time,"Bismarck, ND",,Restaurant Manager,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1044077&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2af80fc6&cb=1612447522377&jobListingId=3628848294
